id;manufacturer_name;reference;supplier_reference;ean13;description.language
2080;Fresh Pienso Semihumedo;1269;1269;8,43512E+12;"<P><STRONG>ALIMENTO COMPLETO PARA PERROS ADULTOS DE RAZAS PEQUEÑAS</STRONG>. </P>
<P><STRONG>COMPOSICIÓN:</STRONG> 55% pescado fresco, 20% pollo fresco, almidón parcialmente hidrolizado, tocoferoles, aceites esenciales (orégano, tomillo, clavo, romero y canela ceylan), pulpa remolacha molida, calabaza, levadura cerveza, achicoria, piña, pera, manzana, cúrcuma, romero, tomillo. </P>
<P><STRONG>COMPONENTES ANALÍTICOS:</STRONG> Proteína bruta 28%, fibra bruta 1,5%, grasa bruta 17%, materia inorgánica 6%, humedad 15%. Energía metabolizable/Kg: 3.950 Kcal / 16.527 Kj. </P>
<P><STRONG>ADITIVOS NUTRICIONALES (por kg MS):</STRONG> Vitaminas (IU): Vitamin A (3a672a) 22726, Vitamina D3 (3a671): 1450, Vitamina E (3a700):454. Minerales (mg): 3b503(Mn:36), 3b103(Fe:72), 3b405(Cu:7.2), 3b603(Zn:100), 3b201(I:1.27). </P>
<P><STRONG>MODO DE EMPLEO:</STRONG> Alimento completo semihúmedo para todo tipo de perros adultos de razas pequeñas. Tome como referencia la tabla de cantidades diarias recomendadas (las cantidades indicadas son orientativas). La cantidad de alimento puede variar en función de la actividad, raza del perro y condiciones medioambientales. Los perros deben disponer siempre de agua limpia y fresca. Mantener el envase bien cerrado, en un lugar fresco, seco y ventilado, lejos de la luz y el sol. Este producto tiene una vida útil de 18 meses. </P>
<P>ALTA PALATABILIDAD | 75 % de pescado fresco y carne. </P>
<P>ALTA DIGESTIBILIDAD | Proteínas de fácil digestión provenientes de un 20 % de pollo fresco. </P>
<P>HUESOS Y ARTICULACIONES SALUDABLES | *kg MS, mg: Vit A (22726), Vit D3 (1450), Vit E (454), Mn (36), Cu (7,2), Zn (100). </P>
<P>PIEL Y PELO SALUDABLES | 55 % de pescado fresco con Omega 3 y 6. </P>
<P>CUIDADO DENTAL | Tamaño pequeño (8 mm) que estimula las encías.</P>"
2081;Fresh Pienso Semihumedo;1270;1270;8,43512E+12;"<P><STRONG>ALIMENTO COMPLETO PARA PERROS ADULTOS DE RAZAS PEQUEÑAS.</STRONG> </P>
<P><STRONG>COMPOSICIÓN:</STRONG> 55% cerdo fresco, 20% pescado fresco, almidón parcialmente hidrolizado, tocoferoles, aceites esenciales (orégano, tomillo, clavo, romero y canela ceylan), pulpa remolacha molida, brócoli, levadura cerveza, achicoria, plátano, pera, manzana, cúrcuma, romero, tomillo. </P>
<P><STRONG>COMPONENTES ANALÍTICOS:</STRONG> Proteína bruta 28%, fibra bruta 1,5%, grasa bruta 17%, materia inorgánica 6%, humedad 15%. Energía metabolizable/Kg: 3.950 Kcal / 16.527 Kj. </P>
<P><STRONG>ADITIVOS NUTRICIONALES (por kg MS):</STRONG> Vitaminas (IU): Vitamin A (3a672a) 22726, Vitamin D3 (3a671): 1450, Vitamin E (3a700):454. Minerals (mg): 3b503(Mn:36), 3b103(Fe:72), 3b405(Cu:7.2), 3b603(Zn:100), 3b201(I:1.27). </P>
<P><STRONG>MODO DE EMPLEO:</STRONG> Alimento completo semihúmedo para todo tipo de perros adultos de razas pequeñas. Tome como referencia la tabla de cantidades diarias recomendadas (las cantidades indicadas son orientativas). La cantidad de alimento puede variar en función de la actividad, raza del perro y condiciones medioambientales. Los perros deben disponer siempre de agua limpia y fresca. Mantener el envase bien cerrado, en un lugar fresco, seco y ventilado, lejos de la luz y el sol. Este producto tiene una vida útil de 18 meses. </P>
<P>ALTA PALATABILIDAD | 75 % de carne fresca y pescado. </P>
<P>ALTA DIGESTIBILIDAD | Proteínas de fácil digestión procedentes de un 55 % de carne fresca de cerdo. </P>
<P>HUESOS Y ARTICULACIONES SALUDABLES | *kg MS, mg: Vit A (22726), Vit D3 (1450), Vit E (454), Mn (36), Cu (7,2), Zn (100). </P>
<P>PIEL Y PELO SALUDABLES | 20 % de pescado fresco con Omega 3 y 6. </P>
<P>CUIDADO DENTAL | Tamaño pequeño de croqueta (8 mm) que estimula las encías. </P>"
2082;Fresh Pienso Semihumedo;1271;1271;8,43512E+12;"<P><STRONG>ALIMENTO COMPLETO PARA PERROS ADULTOS DE RAZAS PEQUEÑAS. </STRONG></P>
<P><STRONG>COMPOSICIÓN:</STRONG> 55% cerdo fresco, 20% pescado fresco, almidón parcialmente hidrolizado, tocoferoles, aceites esenciales (orégano, tomillo, clavo, romero y canela ceylan), pulpa remolacha molida, brócoli, levadura cerveza, achicoria, plátano, pera, manzana, cúrcuma, romero, tomillo. </P>
<P><STRONG>COMPONENTES ANALÍTICOS:</STRONG> Proteína bruta 28%, fibra bruta 1,5%, grasa bruta 17%, materia inorgánica 6%, humedad 15%. Energía metabolizable/Kg: 3.950 Kcal / 16.527 Kj. </P>
<P><STRONG>ADITIVOS NUTRICIONALES (por kg MS):</STRONG> Vitaminas (IU): Vitamin A (3a672a) 22726, Vitamin D3 (3a671): 1450, Vitamin E (3a700):454. Minerals (mg): 3b503(Mn:36), 3b103(Fe:72), 3b405(Cu:7.2), 3b603(Zn:100), 3b201(I:1.27). </P>
<P><STRONG>MODO DE EMPLEO:</STRONG> Alimento completo semihúmedo para todo tipo de perros adultos de razas pequeñas. Tome como referencia la tabla de cantidades diarias recomendadas (las cantidades indicadas son orientativas). La cantidad de alimento puede variar en función de la actividad, raza del perro y condiciones medioambientales. Los perros deben disponer siempre de agua limpia y fresca. Mantener el envase bien cerrado, en un lugar fresco, seco y ventilado, lejos de la luz y el sol. Este producto tiene una vida útil de 18 meses. </P>
<P>ALTA PALATABILIDAD | 75 % de carne fresca y pescado. </P>
<P>ALTA DIGESTIBILIDAD | Proteínas de fácil digestión procedentes de un 55 % de carne fresca de cerdo. </P>
<P>HUESOS Y ARTICULACIONES SALUDABLES | *kg MS, mg: Vit A (22726), Vit D3 (1450), Vit E (454), Mn (36), Cu (7,2), Zn (100). </P>
<P>PIEL Y PELO SALUDABLES | 20 % de pescado fresco con Omega 3 y 6. </P>
<P>CUIDADO DENTAL | Tamaño pequeño de croqueta (8 mm) que estimula las encías. </P>"
2083;Fresh Pienso Semihumedo;1268;1268;8,43512E+12;"<P><STRONG>ALIMENTO COMPLETO PARA PERROS ADULTOS DE RAZAS PEQUEÑAS.</STRONG> </P>
<P><STRONG>COMPOSICIÓN:</STRONG> 55% pescado fresco, 20% pollo fresco, almidón parcialmente hidrolizado, tocoferoles, aceites esenciales (orégano, tomillo, clavo, romero y canela ceylan), pulpa remolacha molida, calabaza, levadura cerveza, achicoria, piña, pera, manzana, cúrcuma, romero, tomillo. </P>
<P><STRONG>COMPONENTES ANALÍTICOS:</STRONG> Proteína bruta 28%, fibra bruta 1,5%, grasa bruta 17%, materia inorgánica 6%, humedad 15%. Energía metabolizable/Kg: 3.950 Kcal / 16.527 Kj. </P>
<P><STRONG>ADITIVOS NUTRICIONALES</STRONG> (por kg MS): Vitaminas (IU): Vitamin A (3a672a) 22726, Vitamina D3 (3a671): 1450, Vitamina E (3a700):454. Minerales (mg): 3b503(Mn:36), 3b103(Fe:72), 3b405(Cu:7.2), 3b603(Zn:100), 3b201(I:1.27).</P>
<P><STRONG>MODO DE EMPLEO:</STRONG> Alimento completo semihúmedo para todo tipo de perros adultos de razas pequeñas. Tome como referencia la tabla de cantidades diarias recomendadas (las cantidades indicadas son orientativas). La cantidad de alimento puede variar en función de la actividad, raza del perro y condiciones medioambientales. Los perros deben disponer siempre de agua limpia y fresca. Mantener el envase bien cerrado, en un lugar fresco, seco y ventilado, lejos de la luz y el sol. Este producto tiene una vida útil de 18 meses. </P>
<P>ALTA PALATABILIDAD | 75 % de pescado fresco y carne. </P>
<P>ALTA DIGESTIBILIDAD | Proteínas de fácil digestión provenientes de un 20 % de pollo fresco. </P>
<P>HUESOS Y ARTICULACIONES SALUDABLES | *kg MS, mg: Vit A (22726), Vit D3 (1450), Vit E (454), Mn (36), Cu (7,2), Zn (100). </P>
<P>PIEL Y PELO SALUDABLES | 55 % de pescado fresco con Omega 3 y 6. </P>
<P>CUIDADO DENTAL | Tamaño pequeño (8 mm) que estimula las encías.</P>"
2091;Creamy Cat Treats;4232;4232;8,43512E+12;"<P>Alimento complementario que ayuda a mantener la piel sana y el&nbsp; pelaje brillante de gatos mayores de 3 meses. </P>
<P><STRONG>INGREDIENTES:</STRONG> Salmón 43,95%, Atún 30,48%, Pollo 10,99%, Aceite de anchoa 2%, Almidón (mandioca) 7,53%, Aceite de linaza 1,10%. Aditivos: Taurina (3a370) 2,51%, Vitaminas (A 3a672a, B2 3a825i, B3 3a314, B5 3a841, D3 3a671, E 3a700) 0,01%, Goma xantana (E 415) 1,43%. </P>
<P><STRONG>COMPONENTES ANALÍTICOS:</STRONG> Proteína bruta: 6,5%, Grasa bruta: 0,1%, Fibra bruta: 1%, Ceniza bruta: 2%, Humedad: 90%. </P>
<P><STRONG>INSTRUCCIONES DE USO:</STRONG> Utilizar entre comidas o acompañando la alimentación. Los gatos deben estar bajo supervisión mientras comen. Mantenga siempre agua limpia y fresca a su disposición.&nbsp; </P>
<P><STRONG>CONSERVACIÓN:</STRONG> Mantener en lugar fresco y seco. </P>
<P><STRONG>PRECAUCIONES</STRONG>: No apto para consumo humano. Consumir antes de la fecha indicada en el envase. </P>"
2092;Creamy Cat Treats;P4233;P4233;8,43512E+12;"<P>Alimento complementario para gatos mayores de 3 meses, ayudándoles a prevenir las bolas de pelo en su estómago. </P>
<P><STRONG>INGREDIENTES:</STRONG> Atún 50,54%, Pollo 36,08%, Plántula de cebada 0,8%, Almidón (mandioca) 7,53%, Aceite de linaza 1,10%. Aditivos: Taurina (3a370) 2,51%, Vitaminas (A 3a672a, B2 3a825i, B3 3a314, B5 3a841, D3 3a671, E 3a700) 0,01%. Goma xantana (E 415) 1,43%. </P>
<P><STRONG>COMPONENTES ANALÍTICOS:</STRONG> Proteína bruta: 6,5%, Grasa bruta: 0,1%, Fibra bruta: 1%, Ceniza bruta: 2%, Humedad: 90%.</P>
<P><STRONG>INSTRUCCIONES DE USO:</STRONG> Utilizar entre comidas o acompañando su alimentación. Los gatos deben estar bajo supervisión mientras comen. Mantenga siempre agua limpia y fresca a su disposición.&nbsp; </P>
<P><STRONG>CONSERVACIÓN:</STRONG> Mantener en lugar fresco y seco. </P>
<P><STRONG>PRECAUCIONES:</STRONG> No apto para consumo humano. Consumir antes de la fecha indicada en el envase.</P>"
2093;Creamy Cat Treats;4233;4233;8,43512E+12;"<P>Alimento complementario para gatos mayores de 3 meses, ayudándoles a prevenir las bolas de pelo en su estómago. </P>
<P><STRONG>INGREDIENTES:</STRONG> Atún 50,54%, Pollo 36,08%, Plántula de cebada 0,8%, Almidón (mandioca) 7,53%, Aceite de linaza 1,10%. Aditivos: Taurina (3a370) 2,51%, Vitaminas (A 3a672a, B2 3a825i, B3 3a314, B5 3a841, D3 3a671, E 3a700) 0,01%. Goma xantana (E 415) 1,43%. </P>
<P><STRONG>COMPONENTES ANALÍTICOS:</STRONG> Proteína bruta: 6,5%, Grasa bruta: 0,1%, Fibra bruta: 1%, Ceniza bruta: 2%, Humedad: 90%. </P>
<P><STRONG>INSTRUCCIONES DE USO:</STRONG> Utilizar entre comidas o acompañando su alimentación. Los gatos deben estar bajo supervisión mientras comen. Mantenga siempre agua limpia y fresca a su disposición.&nbsp; </P>
<P><STRONG>CONSERVACIÓN:</STRONG> Mantener en lugar fresco y seco. </P>
<P><STRONG>PRECAUCIONES:</STRONG> No apto para consumo humano. Consumir antes de la fecha indicada en el envase.</P>"
2094;Creamy Cat Treats;P4231;P4231;8,43512E+12;"<P>Alimento complementario para gatitos menores de 12 meses. </P>
<P><STRONG>INGREDIENTES:</STRONG> Pollo 86,92%, Fructooligosacáridos 0,5%, Almidón (mandioca) 7,53%, Aceite de linaza 1,10%. Aditivos: Taurina (3a370) 2,51%. Vitaminas (A 3a672a, B2 3a8251, B3 3a314, B5 3a841, D3 3a671, E 3a700) 0,01%. Goma xantana (E 415) 1,53%. </P>
<P><STRONG>COMPONENTES ANALÍTICOS:</STRONG> Proteína bruta: 6,5%, Grasa bruta: 0,1%, Fibra bruta: 1%, Ceniza bruta: 2%, Humedad: 90%. </P>
<P><STRONG>INSTRUCCIONES DE USO:</STRONG> Utilizar entre comidas o acompañando la alimentación. Los gatos deben estar bajo supervisión mientras comen. Mantenga siempre agua limpia y fresca a su disposición.&nbsp; </P>
<P><STRONG>CONSERVACIÓN:</STRONG> Mantener en lugar fresco y seco. </P>
<P><STRONG>PRECAUCIONES:</STRONG> No apto para consumo humano. Consumir antes de la fecha indicada en el envase.</P>"
2095;Creamy Cat Treats;P4232;P4232;8,43512E+12;"<P>Alimento complementario que ayuda a mantener la piel sana y el&nbsp; pelaje brillante de gatos mayores de 3 meses. </P>
<P><STRONG>INGREDIENTES</STRONG>: Salmón 43,95%, Atún 30,48%, Pollo 10,99%, Aceite de anchoa 2%, Almidón (mandioca) 7,53%, Aceite de linaza 1,10%. Aditivos: Taurina (3a370) 2,51%, Vitaminas (A 3a672a, B2 3a825i, B3 3a314, B5 3a841, D3 3a671, E 3a700) 0,01%, Goma xantana (E 415) 1,43%. </P>
<P><STRONG>COMPONENTES ANALÍTICOS:</STRONG> Proteína bruta: 6,5%, Grasa bruta: 0,1%, Fibra bruta: 1%, Ceniza bruta: 2%, Humedad: 90%. </P>
<P><STRONG>INSTRUCCIONES DE USO:</STRONG> Utilizar entre comidas o acompañando la alimentación. Los gatos deben estar bajo supervisión mientras comen. Mantenga siempre agua limpia y fresca a su disposición.&nbsp; </P>
<P><STRONG>CONSERVACIÓN:</STRONG> Mantener en lugar fresco y seco. </P>
<P><STRONG>PRECAUCIONES:</STRONG> No apto para consumo humano. Consumir antes de la fecha indicada en el envase. </P>"
2096;Creamy Cat Treats;4231;4231;8,43512E+12;"<P>Alimento complementario para gatitos menores de 12 meses. </P>
<P><STRONG>INGREDIENTES:</STRONG> Pollo 86,92%, Fructooligosacáridos 0,5%, Almidón (mandioca) 7,53%, Aceite de linaza 1,10%. Aditivos: Taurina (3a370) 2,51%. Vitaminas (A 3a672a, B2 3a8251, B3 3a314, B5 3a841, D3 3a671, E 3a700) 0,01%. Goma xantana (E 415) 1,53%. </P>
<P><STRONG>COMPONENTES ANALÍTICOS:</STRONG> Proteína bruta: 6,5%, Grasa bruta: 0,1%, Fibra bruta: 1%, Ceniza bruta: 2%, Humedad: 90%.</P>
<P><STRONG>INSTRUCCIONES DE USO:</STRONG> Utilizar entre comidas o acompañando la alimentación. Los gatos deben estar bajo supervisión mientras comen. Mantenga siempre agua limpia y fresca a su disposición.&nbsp; </P>
<P><STRONG>CONSERVACIÓN:</STRONG> Mantener en lugar fresco y seco. </P>
<P><STRONG>PRECAUCIONES:</STRONG> No apto para consumo humano. Consumir antes de la fecha indicada en el envase.</P>"
